[2024-07-02 03:34:28] [class-ss-archive-creation-job.php:83] Starting a job; no job is presently running
[2024-07-02 03:34:47] [class-ss-setup-task.php:150] Adding file C:\Users\ianki\Local Sites\test-website\app\public\wp-admin\css\deprecated-media.css to queue as: C:/Users/ianki/Local Sites/test-website/app/public/wp-admin/css/deprecated-media.css
[2024-07-02 03:34:47] [class-ss-setup-task.php:150] Adding file C:\Users\ianki\Local Sites\test-website\app\public\wp-admin\css\deprecated-media.min.css to queue as: C:/Users/ianki/Local Sites/test-website/app/public/wp-admin/css/deprecated-media.min.css
[2024-07-02 03:34:47] [class-ss-setup-task.php:150] Adding file C:\Users\ianki\Local Sites\test-website\app\public\wp-admin\css\edit-rtl.css to queue as: C:/Users/ianki/Local Sites/test-website/app/public/wp-admin/css/edit-rtl.css
[2024-07-02 03:34:47] [class-ss-setup-task.php:150] Adding file C:\Users\ianki\Local Sites\test-website\app\public\wp-admin\css\edit-rtl.min.css to queue as: C:/Users/ianki/Local Sites/test-website/app/public/wp-admin/css/edit-rtl.min.css
[2024-07-02 03:34:47] [class-ss-setup-task.php:150] Adding file C:\Users\ianki\Local Sites\test-website\app\public\wp-admin\css\edit.css to queue as: C:/Users/ianki/Local Sites/test-website/app/public/wp-admin/css/edit.css
[2024-07-02 03:34:47] [class-ss-setup-task.php:150] Adding file C:\Users\ianki\Local Sites\test-website\app\public\wp-admin\css\edit.min.css to queue as: C:/Users/ianki/Local Sites/test-website/app/public/wp-admin/css/edit.min.css
[2024-07-02 03:34:47] [class-ss-setup-task.php:150] Adding file C:\Users\ianki\Local Sites\test-website\app\public\wp-admin\css\farbtastic-rtl.css to queue as: C:/Users/ianki/Local Sites/test-website/app/public/wp-admin/css/farbtastic-rtl.css
[2024-07-02 03:34:48] [class-ss-setup-task.php:150] Adding file C:\Users\ianki\Local Sites\test-website\app\public\wp-admin\css\farbtastic-rtl.min.css to queue as: C:/Users/ianki/Local Sites/test-website/app/public/wp-admin/css/farbtastic-rtl.min.css
[2024-07-02 03:34:48] [class-ss-setup-task.php:150] Adding file C:\Users\ianki\Local Sites\test-website\app\public\wp-admin\css\farbtastic.css to queue as: C:/Users/ianki/Local Sites/test-website/app/public/wp-admin/css/farbtastic.css
[2024-07-02 03:34:48] [class-ss-setup-task.php:150] Adding file C:\Users\ianki\Local Sites\test-website\app\public\wp-admin\css\farbtastic.min.css to queue as: C:/Users/ianki/Local Sites/test-website/app/public/wp-admin/css/farbtastic.min.css
[2024-07-02 03:34:48] [class-ss-setup-task.php:150] Adding file C:\Users\ianki\Local Sites\test-website\app\public\wp-admin\css\forms-rtl.css to queue as: C:/Users/ianki/Local Sites/test-website/app/public/wp-admin/css/forms-rtl.css
[2024-07-02 03:34:48] [class-ss-setup-task.php:150] Adding file C:\Users\ianki\Local Sites\test-website\app\public\wp-admin\css\forms-rtl.min.css to queue as: C:/Users/ianki/Local Sites/test-website/app/public/wp-admin/css/forms-rtl.min.css
[2024-07-02 03:34:48] [class-ss-setup-task.php:150] Adding file C:\Users\ianki\Local Sites\test-website\app\public\wp-admin\css\forms.css to queue as: C:/Users/ianki/Local Sites/test-website/app/public/wp-admin/css/forms.css
[2024-07-02 03:34:48] [class-ss-setup-task.php:150] Adding file C:\Users\ianki\Local Sites\test-website\app\public\wp-admin\css\forms.min.css to queue as: C:/Users/ianki/Local Sites/test-website/app/public/wp-admin/css/forms.min.css
[2024-07-02 03:34:48] [class-ss-setup-task.php:150] Adding file C:\Users\ianki\Local Sites\test-website\app\public\wp-admin\css\install-rtl.css to queue as: C:/Users/ianki/Local Sites/test-website/app/public/wp-admin/css/install-rtl.css
